key,device,d_lambda,radio,symmetry,parameters_fitted_to,nominal_mean_row_tv,nominal_mean_row_js_nats,nominal_flattened_corr,cal_mean_row_tv,cal_mean_row_js_nats,cal_flattened_corr,cal_map_bin_agreement,nonempty_phi_rows
SDRDEVICE.BLADERF2_0.48083,BLADERF2,0.48083,r0,sym,r/nosym,0.4065366914,0.1552660295,0.5844830544,0.2036011524,0.04253349705,0.8779937185,0.03076923077,65
SDRDEVICE.BLADERF2_0.48083,BLADERF2,0.48083,r1,nosym,r/nosym,0.6334438795,0.291731232,0.3703197881,0.3603485697,0.1142636551,0.7562121927,0.1230769231,65
SDRDEVICE.BLADERF2_0.48083,BLADERF2,0.48083,r1,sym,r/nosym,0.3370750567,0.1133552478,0.6625752255,0.2232266564,0.04757708278,0.8087581013,0.2769230769,65
SDRDEVICE.PLUTO_0.48083,PLUTO,0.48083,r,nosym,r/nosym,0.3520589655,0.1100946081,0.7368060411,0.1887918449,0.0328506778,0.9022357309,0.1846153846,65
SDRDEVICE.PLUTO_0.48083,PLUTO,0.48083,r,sym,r/nosym,0.2805116381,0.07760752707,0.8264420897,0.130688714,0.01572392192,0.9594540326,0.4153846154,65
SDRDEVICE.PLUTO_0.48083,PLUTO,0.48083,r0,nosym,r/nosym,0.3067701348,0.08716766409,0.7566944276,0.2454678479,0.05500496879,0.8165932454,0.1076923077,65
SDRDEVICE.PLUTO_0.48083,PLUTO,0.48083,r0,sym,r/nosym,0.201947377,0.04831596522,0.8855666251,0.2054893541,0.03333393172,0.8837999147,0.06153846154,65
SDRDEVICE.PLUTO_0.48083,PLUTO,0.48083,r1,nosym,r/nosym,0.5113405626,0.2132682561,0.6139556963,0.3265804504,0.09361445267,0.8267248927,0.2307692308,65
SDRDEVICE.PLUTO_0.48083,PLUTO,0.48083,r1,sym,r/nosym,0.4355181702,0.1661775087,0.705476212,0.2317546983,0.05086979628,0.9156898761,0.3846153846,65
SDRDEVICE.PLUTO_0.48273,PLUTO,0.48273,r,nosym,r/nosym,0.318133119,0.08358659015,0.7478879978,0.2493091968,0.05272529444,0.836554871,0.1538461538,65
SDRDEVICE.PLUTO_0.48273,PLUTO,0.48273,r,sym,r/nosym,0.157846034,0.02940720182,0.9190502972,0.1248165589,0.0161323139,0.9516498651,0.2615384615,65
SDRDEVICE.PLUTO_0.48273,PLUTO,0.48273,r0,nosym,r/nosym,0.3996420823,0.1245032403,0.6569512305,0.3047212149,0.07780673925,0.8014323639,0.1230769231,65
SDRDEVICE.PLUTO_0.48273,PLUTO,0.48273,r0,sym,r/nosym,0.1828111736,0.03437148128,0.9097600383,0.1423328431,0.02296420764,0.9437994024,0.3230769231,65
SDRDEVICE.PLUTO_0.48273,PLUTO,0.48273,r1,nosym,r/nosym,0.4139106838,0.1287208878,0.6404057117,0.3735742744,0.1086174797,0.6727194368,0.09230769231,65
SDRDEVICE.PLUTO_0.48273,PLUTO,0.48273,r1,sym,r/nosym,0.1861721794,0.03954918858,0.8901814534,0.1592465286,0.02291629642,0.9226148448,0.4461538462,65
SDRDEVICE.BLADERF2_0.48400,BLADERF2,0.484,r,nosym,r/nosym,0.5628490273,0.2546662355,0.4391671611,0.1892121506,0.03666869623,0.9196664684,0.2307692308,65
SDRDEVICE.BLADERF2_0.48400,BLADERF2,0.484,r,sym,r/nosym,0.3315692675,0.119256589,0.6784791766,0.1206287859,0.01601641055,0.9492696813,0.2923076923,65
SDRDEVICE.BLADERF2_0.48400,BLADERF2,0.484,r0,nosym,r/nosym,0.5995053783,0.281421243,0.4292319204,0.2800600085,0.07453488092,0.8394042614,0.1384615385,65
SDRDEVICE.BLADERF2_0.48400,BLADERF2,0.484,r0,sym,r/nosym,0.4024174161,0.1540553338,0.6261357618,0.1757601521,0.0330437898,0.9199061018,0.3230769231,65
SDRDEVICE.BLADERF2_0.48400,BLADERF2,0.484,r1,nosym,r/nosym,0.6249410608,0.2988948515,0.3755964167,0.3031143949,0.08867764413,0.8134005591,0.1692307692,65
SDRDEVICE.BLADERF2_0.48400,BLADERF2,0.484,r1,sym,r/nosym,0.3309011172,0.118918665,0.6519302439,0.2160831597,0.04274859076,0.8237645186,0.1538461538,65
SDRDEVICE.PLUTO_0.48400,PLUTO,0.484,r,nosym,r/nosym,0.3441187632,0.1140145613,0.7279196759,0.2059467022,0.03790198755,0.8690098647,0.1692307692,65
SDRDEVICE.PLUTO_0.48400,PLUTO,0.484,r,sym,r/nosym,0.303813451,0.09458706475,0.7890750472,0.1449725916,0.02016476737,0.93984355,0.3230769231,65
SDRDEVICE.PLUTO_0.48400,PLUTO,0.484,r0,nosym,r/nosym,0.3404045679,0.106638477,0.6890993274,0.2963874489,0.07418268797,0.7228673689,0.01538461538,65
SDRDEVICE.PLUTO_0.48400,PLUTO,0.484,r0,sym,r/nosym,0.2492006897,0.06713411831,0.793041045,0.222318078,0.04087923174,0.8250084668,0.07692307692,65
SDRDEVICE.PLUTO_0.48400,PLUTO,0.484,r1,nosym,r/nosym,0.5362894188,0.2402484407,0.5740639634,0.3639777766,0.119753395,0.7583166744,0.1384615385,65
