exact_config,device,platform,rx_lo_mhz,physical_spacing_mm,d_lambda,n_datasets,r0_minus_r1_phase_mean_deg,r0_minus_r1_phase_mad_deg,r0_g_median_or_circular_mean,r0_g_mad,r0_theta_deg_median_or_circular_mean,r0_theta_deg_mad,r0_phase_deg_median_or_circular_mean,r0_phase_deg_mad,r0_sigma_deg_median_or_circular_mean,r0_sigma_deg_mad,r1_g_median_or_circular_mean,r1_g_mad,r1_theta_deg_median_or_circular_mean,r1_theta_deg_mad,r1_phase_deg_median_or_circular_mean,r1_phase_deg_mad,r1_sigma_deg_median_or_circular_mean,r1_sigma_deg_mad
PLUTO|wall|2412|0.48273,PLUTO,wall,2412,60.0,0.48273,171,14.011860232408408,5.000895393908615,1.1400000000000003,0.040000000000000036,9.740282517224017,1.1459155902616458,-2.4889592831489904,3.7066114708764206,35.205824379086195,2.4131876755712223,1.1400000000000003,0.020000000000000018,-0.5729577951308003,1.1459155902616465,-16.507000880821558,4.728248303354414,36.848145410277475,2.364883133715488
PLUTO|wall|2412|0.56318,PLUTO,wall,2412,70.0,0.56318,31,86.26610339486975,5.941154349721142,1.0200000000000002,0.020000000000000018,4.010704565915785,1.1459155902616518,74.53368974449367,2.9891315849567435,27.02023558317205,2.787078887736531,1.0600000000000005,0.020000000000000018,-0.5729577951308003,1.1459155902616465,-11.722996605654348,3.215902933076027,36.3018070547589,1.3866948765433609
PLUTO|wall|2412|0.56319,PLUTO,wall,2412,70.0,0.56319,203,75.76790974002664,16.96803773462143,1.0200000000000002,0.02000000000000024,4.010704565915785,1.1459155902616518,59.37404407068887,15.227085214131296,28.52434442098131,2.365309026429334,1.0600000000000005,0.039999999999999813,0.5729577951308404,1.1459155902616465,-16.51761411343161,4.905355934719989,35.963754460383974,1.6629938408561682
PLUTO|wall|2412|0.60342,PLUTO,wall,2412,75.0,0.60342,62,19.00067282045157,4.821731684321586,0.9800000000000002,0.020000000000000018,8.021409131831549,0.5729577951308238,1.5447400176197628,2.9994696189030705,31.08327507029751,2.4946312113840134,1.0000000000000002,0.020000000000000018,1.718873385392487,1.1459155902616465,-17.479937618832597,3.8899507815064243,33.978191757946966,1.291502308358787
PLUTO|wall|2467|0.57606,PLUTO,wall,2467,70.0,0.57606,101,106.35996905922939,3.3317264912786304,0.9000000000000001,0.020000000000000018,5.156620156177432,1.1459155902616467,92.721530496733,2.1266290730794255,20.52166167597783,1.9319073907800086,1.0400000000000005,0.02000000000000024,0.5729577951308404,1.1459155902616407,-13.637060934665923,3.018917139469392,26.60399051764587,2.560032927943306
PLUTO|wall|5766|0.48083,PLUTO,wall,5766,25.0,0.48083,63,-10.667696630468935,20.878171527695997,1.1600000000000004,0.040000000000000036,1.718873385392487,1.1459155902616465,-14.47731786343554,21.759137457232413,26.41203857965203,2.701134275879713,1.3200000000000005,0.020000000000000018,1.718873385392487,1.1459155902616465,-3.6292765597719026,2.675794006471916,24.028232608116568,1.762213412346007
PLUTO|wall|5770|1.25103,PLUTO,wall,5770,65.0,1.25103,53,27.311842538200633,7.607951884215524,1.0000000000000002,0.0,2.8647889756541334,0.0,25.123131916355018,5.555038401161615,23.847747375249014,1.0889884130508873,1.0200000000000002,0.0,1.718873385392487,0.0,-2.0773440260855236,3.7231471689972704,21.874497356566973,1.257701356333486
PLUTO|wall|5770|1.34727,PLUTO,wall,5770,70.0,1.34727,30,18.651446847593768,8.850736505502063,1.0000000000000002,0.0,2.2918311805233103,0.5729577951308233,17.437372722927453,7.549801679266015,21.20103122665993,1.3321490487299925,1.0000000000000002,0.0,1.718873385392487,0.0,-1.2176711420504713,2.6713404519665835,20.616278498143952,1.5318993440836244
PLUTO|wall|5804|0.48400,PLUTO,wall,5804,25.0,0.484,59,19.035598374997612,18.96984008221049,1.1800000000000004,0.020000000000000018,1.718873385392487,1.1459155902616465,12.089614563940959,18.62955054897408,23.001132692562464,2.1104760476645414,1.3600000000000003,0.02000000000000024,1.718873385392487,1.1459155902616465,-7.002283008785484,2.3386666246510157,25.12684970591157,1.29253562995942
PLUTO|wall|5804|0.83248,PLUTO,wall,5804,43.0,0.83248,11,32.76689985222666,2.3596302051183664,0.9600000000000002,0.0,4.010704565915785,1.1459155902616467,27.552318630739194,2.046210024471774,18.28397374870231,0.55044206321533,0.9600000000000002,0.0,0.5729577951308404,0.0,-5.2119061581145765,1.4309151281522754,21.28588846900956,1.1374655833981349
PLUTO|wall|5804|1.54880,PLUTO,wall,5804,80.0,1.5488,50,59.211455554403,7.5180531172156035,0.9600000000000002,0.0,1.718873385392487,0.0,51.56009187163733,5.9041277892467035,22.803107927655606,0.9612419157432907,0.9800000000000002,0.0,1.718873385392487,0.0,-7.609390957064565,3.171588803426891,26.942530738593625,1.2674870382598864
PLUTO|wall|5838|0.48684,PLUTO,wall,5838,25.0,0.48684,33,29.419329569705525,24.55844071159325,1.2800000000000005,0.040000000000000036,1.718873385392487,1.1459155902616465,24.123854254009533,24.29914069701105,26.490083568242135,3.6897244915954364,1.4000000000000006,0.040000000000000036,1.718873385392487,1.1459155902616465,-5.25023994842263,3.0891811177683364,28.22450648517045,1.6744381258263137
PLUTO|wall|5838|1.26578,PLUTO,wall,5838,65.0,1.26578,16,40.125469347390315,3.9885350696058435,1.0200000000000002,0.0,1.718873385392487,0.0,40.51456970151667,3.9596040958289622,26.030828314208676,1.0485738180002333,1.0300000000000002,0.01000000000000012,1.718873385392487,0.5729577951308232,0.3907476065206392,3.340380639779487,24.663290418886536,2.3574629332988812
PLUTO|wall|5839|1.26599,PLUTO,wall,5839,65.0,1.26599,37,56.84688790899862,3.828931630557167,1.0200000000000002,0.020000000000000018,1.718873385392487,1.1459155902616465,53.27384449207621,3.665337021911106,25.15556651409671,1.356811380772568,1.0200000000000002,0.0,1.718873385392487,0.0,-3.5631230595542887,2.2305558756050448,22.34995711150881,1.7048519176470702
